record_id,decisionNumber,decisionDate,decision_month,decision_year,domains,domain_register,authority_name
4687382,2а-479/2022,2022-07-21,2022-07,2022,['ooshnovosel.ru'],.ru,Увельский районный суд - Челябинская область
4804593,2а-2939/2022,2022-07-22,2022-07,2022,['cmeuku.ny3blpuku.cc'],.cc,Ленинский районный суд г. Челябинска - Челябинская область
4662030,2а-1033/2022,2022-07-22,2022-07,2022,['darkshop-bay.xyz'],.xyz,Кыштымский городской суд - Челябинская область
4810770,2а-1832/2022,2022-07-22,2022-07,2022,['zlatoust.dbalet.ru'],.ru,Златоустовский городской суд - Челябинская область
4746302,2а-869/2022,2022-07-25,2022-07,2022,['l.avroramodels.net'],.net,Коркинский городской суд - Челябинская область
4750265,2а-868/2022,2022-07-25,2022-07,2022,['theatretabard.org'],.org,Коркинский городской суд - Челябинская область
4750421,2а-868/2022,2022-07-25,2022-07,2022,['novgela2250.info'],.info,Коркинский городской суд - Челябинская область
4750345,2а-868/2022,2022-07-25,2022-07,2022,['gimtaz.dometa.info'],.info,Коркинский городской суд - Челябинская область
4887691,2а-3295/2022,2022-07-26,2022-07,2022,['t.fastworks.click'],.click,Калининский районный суд г. Челябинска - Челябинская область
4709434,2а-1591/2022,2022-07-26,2022-07,2022,['saratov.sam-poehald.com'],.com,Озерский городской суд - Челябинская область
4709618,2а-1477/2022,2022-07-26,2022-07,2022,['krasnodar.sam-poehald.com'],.com,Озерский городской суд - Челябинская область
4857470,2а-3299/2022,2022-07-26,2022-07,2022,['gosnom.ru'],.ru,Калининский районный суд г. Челябинска - Челябинская область
4719448,2а-1441/2022,2022-07-26,2022-07,2022,['trudovaya-savejob.ru'],.ru,Озерский городской суд - Челябинская область
5068058,2а-3298/2022,2022-07-26,2022-07,2022,['specznak777.ru'],.ru,Калининский районный суд г. Челябинска - Челябинская область
4791792,2а-3265/2022,2022-07-26,2022-07,2022,['chelyabinsk.praspec.com'],.com,Калининский районный суд г. Челябинска - Челябинская область
5212856,2а-3297/2022,2022-07-26,2022-07,2022,['m1.справка-в-бассейн-с-доставкой.рф'],.рф,Калининский районный суд г. Челябинска - Челябинская область
4709346,2а-1596/2022,2022-07-27,2022-07,2022,['ru.udostovereniemsk99.com'],.com,Озерский городской суд - Челябинская область
4754583,2а-3100/2022,2022-07-28,2022-07,2022,['ssledyss55.com'],.com,Тракторозаводский районный суд г. Челябинска - Челябинская область
4753977,2а-3096/2022,2022-07-28,2022-07,2022,['solikamsk.pr-13.com'],.com,Тракторозаводский районный суд г. Челябинска - Челябинская область
4754716,2а-3101/2022,2022-07-28,2022-07,2022,['x6.malvinki.net'],.net,Тракторозаводский районный суд г. Челябинска - Челябинская область
4887410,2а-3801/2022,2022-07-29,2022-07,2022,['l.avroramodels.net'],.net,Калининский районный суд г. Челябинска - Челябинская область
4804499,2а-3478/2022,2022-07-29,2022-07,2022,['svoikur.com'],.com,Советский районный суд г. Челябинска - Челябинская область
4743161,2а-697/2022,2022-07-29,2022-07,2022,['magnitogorsk.pr-13.com'],.com,Агаповский районный суд - Челябинская область
4891980,2а-3800/2022,2022-07-29,2022-07,2022,['magadan.soos.su'],.su,Калининский районный суд г. Челябинска - Челябинская область
4750561,2а-278/2022,2022-07-29,2022-07,2022,['komsomolka.work'],.work,Уйский районный суд - Челябинская область
4746598,2а-700/2022,2022-07-29,2022-07,2022,['indi-magnitogorska.com'],.com,Агаповский районный суд - Челябинская область
4963559,2а-705/2022,2022-07-29,2022-07,2022,['x3.escort-sterlitamak.com'],.com,Агаповский районный суд - Челябинская область
4786260,2а-547/2022,2022-07-29,2022-07,2022,['vologda-individualka.ru'],.ru,Снежинский городской суд - Челябинская область
4755162,2а-697/2022,2022-07-29,2022-07,2022,['magnitogorsk.superindi.com'],.com,Агаповский районный суд - Челябинская область
5097615,2а-2124/2022,2022-08-01,2022-08,2022,['s3.100медсправок.рф'],.рф,Правобережный районный суд г. Магнитогорска - Челябинская область
