record_id,decisionNumber,decisionDate,authority_id,authority_name,status,domains,urls
5265288,2а-6415/2022,2022-12-14,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['tyumen.propiska-online.ru'],[]
5265379,2а-2426/2022,2022-11-18,790,Коркинский городской суд - Челябинская область,blocked,['www4.dosugcx-chel.org'],['https://www4.dosugcx-chel.org/individualki_chelyabinsk_spisok.html?ysclid=19gj70cqpw16978196']
5266312,2а-2425/2022,2022-11-18,790,Коркинский городской суд - Челябинская область,blocked,['vipintimbooke.ru'],['https://vipintimbooke.ru/intimblog/girls-korkino/?ysclid=19gflz2ruj467096475']
5266318,2а-789/2022,2022-12-27,1134,Нагайбакский районный суд - Челябинская область,blocked,['ru1.spravka-rostov.com'],[]
5266377,2а-2425/2022,2022-11-18,790,Коркинский городской суд - Челябинская область,blocked,['escortswomanxvip.store'],['https://escortswomanxvip.store/region/shluhi-korkino/?ysclid=19gg3ncko6329455954']
5266383,2а-789/2022,2022-12-27,1134,Нагайбакский районный суд - Челябинская область,blocked,['vipspravka.org'],['https://vipspravka.org/spravka-iz-dispansera']
5266395,2а-790/2022,2022-12-27,1134,Нагайбакский районный суд - Челябинская область,blocked,['ru.spravki-nn.com'],[]
5266442,2а-2425/2022,2022-11-18,790,Коркинский городской суд - Челябинская область,blocked,['www.masterxputanik.online'],['https://www.masterxputanik.online/list/putany-korkino/']
5266509,2а-5682/2022,2022-12-19,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['acvvboard.bz'],['https://acvvboard.bz/forum/61-realnyi-karding/']
5266527,2а-790/2022,2022-12-27,1134,Нагайбакский районный суд - Челябинская область,blocked,['ru.spravka-krasnodar.com'],[]
5266575,2а-5682/2022,2022-12-19,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['dark-biz.xyz'],['https://dark-biz.xyz/forums/karding.35/']
5275753,2а-560/2022,2022-12-15,2206,Кусинский районный суд - Челябинская область,blocked,['premium-diplomsx.com'],[]
5278399,2а-696/2022 ~ М-669/2022,2022-12-26,1396,Усть-Катавский городской суд - Челябинская область,blocked,['doska-russia.online'],['http://doska-russia.online/ust-katav']
5278487,2а-709/2022 ~ М-680/2022,2022-12-26,1396,Усть-Катавский городской суд - Челябинская область,blocked,['med495.spravka.website'],[]
5278489,2а-729/2022 ~ М-698/2022,2022-12-26,1396,Усть-Катавский городской суд - Челябинская область,blocked,['dokhumentn-ohrana.com'],[]
5280777,2а-1053/2022,2022-09-27,1652,Троицкий районный суд - Челябинская область,blocked,['porno-suchek.com'],[]
5291648,2а-8357/2022,2022-11-30,249,Миасский городской суд - Челябинская область,blocked,['www.diplom-online.com'],[]
5291689,2а-6376/2022,2022-12-09,210,Металлургический районный суд г. Челябинска - Челябинская область,blocked,['sex3.prostitutkichitywithin.info'],[]
5291987,2а-3475/2022,2022-12-08,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['r.darsex.club'],['https://r.darsex.club/mahnitogorck/']
5292132,2а-3475/2022,2022-12-08,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['sexmgn.life'],[]
5292396,2а-1112/2022,2022-02-03,66,Курчатовский районный суд г. Челябинска - Челябинская область,blocked,['dojki.sex'],[]
5292399,2а-1110/2022,2022-02-03,66,Курчатовский районный суд г. Челябинска - Челябинская область,blocked,['popa.tv'],['https://popa.tv/main/']
5293333,б/н,2022-12-30,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['one.indi-samara11.com'],[]
5293518,б/н,2022-12-30,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex2.prostitutkisamaryafter.com'],[]
5293920,2а-3820/2022,2022-08-03,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['xex.rusoska.net'],[]
5294104,2a-794/2022,2022-01-27,66,Курчатовский районный суд г. Челябинска - Челябинская область,blocked,['yaporn.city'],[]
5299129,2а-9454/2022,2022-11-25,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['mineralynyevody1.sex-rach.com'],['https://mineralynyevody1.sex-rach.com']
5299568,2а-9453/2022,2022-11-25,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['uhta6.sex-rach.com'],[]
5299953,2а-3459/2022,2022-12-12,181,Правобережный районный суд г. Магнитогорска - Челябинская область,blocked,['o.avroramodels.net'],['https://o.avroramodels.net/mahnitogorsk/']
5300510,2а-7139/2022,2022-11-29,560,Тракторозаводский районный суд г. Челябинска - Челябинская область,blocked,['ccccc.sb'],['https://ccccc.sb/topic/1750-delaem-zalivy-na-karty-bankov--ischem-partnerov-dlya-raboty/']
5306685,2а-8393/2022,2022-12-19,249,Миасский городской суд - Челябинская область,blocked,['online-sim2.ru'],[]
5306802,2а-8393/2022,2022-12-19,249,Миасский городской суд - Челябинская область,blocked,['kupitsimbez2.ru'],['https://kupitsimbez2.ru/mts/']
5306903,2а-8392/2022,2022-12-19,249,Миасский городской суд - Челябинская область,blocked,['24-sim.ru'],[]
5314176,2а-7068/2022,2022-12-20,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['ru.russiangirlsporno.com'],[]
5314179,2а-1548/2022,2022-12-23,561,Агаповский районный суд - Челябинская область,blocked,['receive-sms-online.com'],[]
5314307,2а-1548/2022,2022-12-23,561,Агаповский районный суд - Челябинская область,blocked,['sms.sellaite.com'],[]
5314555,2а-769/2022,2022-11-29,1134,Нагайбакский районный суд - Челябинская область,blocked,['zaliv-carders.xyz'],['https://zaliv-carders.xyz/threads/obnal-kart-2022.9449/']
5315075,2а-1548/2022,2022-12-23,561,Агаповский районный суд - Челябинская область,blocked,['www.receivesms.co'],[]
5321940,2а-9082/2022,2022-11-17,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex7.intim-moskva.net'],['https://sex7.intim-moskva.net']
5322535,2а-9400/2022,2022-11-30,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['novosibirsk15.24h.sex'],[]
5322659,2а-9403/2022,2022-11-30,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['drop-only.xyz'],['https://drop-only.xyz/threads/karding-karty-s-balansom-pod-obnal-realnyj-karding-2022.10223']
5322766,2а-9403/2022,2022-11-30,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['drop-only.xyz'],['https://drop-only.xyz/threads/zaliv-deneg-zaliv-rublej-na-kartu-zaliv-grivny-na-kartu.10224']
5322960,2а-9402/2022,2022-11-30,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['mineralynye-vody.pr-13.com'],['https://mineralynye-vody.pr-13.com']
5323073,2а-1115/2022,2022-02-03,66,Курчатовский районный суд г. Челябинска - Челябинская область,blocked,['nationalcasinolp.com'],['https://nationalcasinolp.com/bonus-wheel-de/?btag=665364_092B0DFCDF7842788B937D15656F255E']
5329446,2а-891/2022,2022-10-18,2119,Уйский районный суд - Челябинская область,blocked,['chelyabinsk.areas-diplom24.com'],['http://chelyabinsk.areas-diplom24.com/diplom-o-vysshem-obrazovanii']
5329597,2а-891/2022,2022-10-18,2119,Уйский районный суд - Челябинская область,blocked,['chelyabinsk.areas-diplom24.com'],['http://chelyabinsk.areas-diplom24.com/diplom-bakalavra']
5329748,2а-891/2022,2022-10-18,2119,Уйский районный суд - Челябинская область,blocked,['chelyabinsk.areas-diplom24.com'],['http://chelyabinsk.areas-diplom24.com/diplom-magistra']
5329899,2а-891/2022,2022-10-18,2119,Уйский районный суд - Челябинская область,blocked,['chelyabinsk.areas-diplom24.com'],['http://chelyabinsk.areas-diplom24.com/diplom-spetsialista']
5329903,2а-9401/2022,2022-11-30,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['usty-ilimsk3.sex-rach.com'],[]
5329928,2а-3820/2022,2022-08-03,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['xix.rusoska.net'],[]
5330051,2а-891/2022,2022-10-18,2119,Уйский районный суд - Челябинская область,blocked,['chelyabinsk.areas-diplom24.com'],['http://chelyabinsk.areas-diplom24.com/diplom-kandidata-ili-doktora-nauk']
5330055,2а-9401/2022,2022-11-30,103,Центральный районный суд г. Челябинска - Челябинская область,blocked,['sex.prostitutkiustilimskdosug.net'],[]
5330080,2а-3820/2022,2022-08-03,836,Советский районный суд г. Челябинска - Челябинская область,blocked,['xxu.rusoska.net'],[]
5330202,2а-891/2022,2022-10-18,2119,Уйский районный суд - Челябинская область,blocked,['chelyabinsk.areas-diplom24.com'],['http://chelyabinsk.areas-diplom24.com/diplom-o-vysshem-obrazovanii/diplom-o-vtorom-vysshem-obrazovanii']
